"id","nome","idade","turma","nota"
"1","Ana Souza","19","Info A","8.5"
"2","Bruno Lima","20","Administração A","7"
"3","Carla Santos","18","Info A","9.2"
"4","Diego Alves","22","Redes A","6.8"
"5","Elisa Rocha","21","Administração A","8.9"
"6","Felipe Melo","20","Redes A","5.7"
"7","Gabriela Costa","19","Info A","9.7"
"8","Henrique Silva","23","Redes A","7.5"
"9","Igor Martins","18","Info B","8.1"
"10","Joana Ferreira","19","Redes A","7.8"
"11","Lucas Pereira","21","Administração A","6.5"
"12","Mariana Lopes","20","Info A","9.4"
"13","Nicolas Gomes","22","Redes A","3.8"
"14","Olívia Ramos","18","Info A","8.3"
"15","Paulo Mendes","20","Redes A","7.1"
"16","Renata Lima","19","Administração A","9"
"17","Samuel Barros","21","Info B","4.9"
"18","Tatiana Nunes","22","Administração B","6.2"
"19","Vinícius Araújo","20","Redes B","8.8"
"20","Wesley Cardoso","19","Info B","5.4"
"21","Aline Monteiro","18","Administração B","7.6"
"22","Beatriz Cavalcanti","20","Info A","9.1"
"23","Caio Dantas","23","Redes B","4.3"
"24","Daniela Freitas","21","Administração A","8"
"25","Eduardo Tavares","19","Info B","6.9"
"26","Fernanda Queiroz","18","Redes A","7.9"
"27","Gustavo Moura","22","Administração B","5.8"
"28","Helena Paiva","20","Info A","9.6"
"29","Isabela Castro","19","Redes B","8.4"
"30","José Roberto","24","Administração A","6"
"31","Karen Albuquerque","18","Info B","7.3"
"32","Leandro Farias","21","Redes A","2.9"
"33","Mônica Ribeiro","20","Administração B","8.7"
"34","Natália Pires","19","Info A","5.1"
"35","Otávio Correia","22","Redes B","7.7"
"36","Priscila Andrade","21","Administração A","9.3"
"37","Rafael Batista","20","Info B","6.7"
"38","Sabrina Oliveira","18","Redes A","8.2"
"39","Thiago Moreira","23","Administração B","4.7"
"40","Vitória Fernandes","19","Info A","9.8"
