"id","nome","idade","turma","nota","cidade","situacao"
"2","Bruno Lima","20","Administração A","7","Olinda","Aprovado"
"24","Daniela Freitas","21","Administração A","8","null","Aprovado"
"5","Elisa Rocha","21","Administração A","8.9","Recife","Aprovado"
"30","José Roberto","24","Administração A","6","null","Recuperação"
"11","Lucas Pereira","21","Administração A","6.5","null","Recuperação"
"36","Priscila Andrade","21","Administração A","9.3","null","Aprovado"
"16","Renata Lima","19","Administração A","9","null","Aprovado"
"21","Aline Monteiro","18","Administração B","7.6","null","Aprovado"
"27","Gustavo Moura","22","Administração B","5.8","null","Recuperação"
"33","Mônica Ribeiro","20","Administração B","8.7","null","Aprovado"
"18","Tatiana Nunes","22","Administração B","6.2","null","Recuperação"
"39","Thiago Moreira","23","Administração B","4.7","null","Reprovado"
"1","Ana Souza","20","Info A","9","Recife","Aprovado"
"22","Beatriz Cavalcanti","20","Info A","9.1","null","Aprovado"
"3","Carla Santos","18","Info A","9.2","Jaboatão dos Guararapes","Aprovado"
"7","Gabriela Costa","19","Info A","9.7","null","Aprovado"
"28","Helena Paiva","20","Info A","9.6","null","Aprovado"
"12","Mariana Lopes","20","Info A","9.4","null","Aprovado"
"34","Natália Pires","19","Info A","5.1","null","Recuperação"
"14","Olívia Ramos","18","Info A","8.3","null","Aprovado"
"40","Vitória Fernandes","19","Info A","9.8","null","Aprovado"
"4","Diego Alves","22","Info B","6.8","Paulista","Recuperação"
"25","Eduardo Tavares","19","Info B","6.9","null","Recuperação"
"9","Igor Martins","18","Info B","8.1","null","Aprovado"
"31","Karen Albuquerque","18","Info B","7.3","null","Aprovado"
"37","Rafael Batista","20","Info B","6.7","null","Recuperação"
"17","Samuel Barros","21","Info B","4.9","null","Reprovado"
"20","Wesley Cardoso","19","Info B","5.4","null","Recuperação"
"6","Felipe Melo","20","Redes A","7.2","null","Aprovado"
"26","Fernanda Queiroz","18","Redes A","7.9","null","Aprovado"
"10","Joana Ferreira","19","Redes A","7.8","null","Aprovado"
"15","Paulo Mendes","20","Redes A","7.1","null","Aprovado"
"38","Sabrina Oliveira","18","Redes A","8.2","null","Aprovado"
"23","Caio Dantas","23","Redes B","4.3","null","Reprovado"
"29","Isabela Castro","19","Redes B","8.4","null","Aprovado"
"35","Otávio Correia","22","Redes B","7.7","null","Aprovado"
"19","Vinícius Araújo","20","Redes B","8.8","null","Aprovado"
